,date_start,year,no_of_events
872,2006-05-26,6018,3
873,2006-05-29,6018,3
874,2006-06-02,2006,1
875,2006-06-03,4012,2
876,2006-06-04,2006,1
877,2006-06-05,2006,1
878,2006-06-07,8024,4
879,2006-06-09,8024,4
880,2006-06-10,4012,2
881,2006-06-11,2006,1
882,2006-06-12,6018,3
883,2006-06-13,8024,4
884,2006-06-14,6018,3
885,2006-06-15,2006,1
886,2006-06-16,4012,2
887,2006-06-17,18054,9
888,2006-06-18,4012,2
889,2006-06-19,2006,1
890,2006-06-20,6018,3
891,2006-06-22,4012,2
892,2006-06-23,8024,4
893,2006-06-24,2006,1
894,2006-06-26,4012,2
895,2006-06-28,6018,3
896,2006-06-29,2006,1
897,2006-06-30,2006,1
898,2006-07-01,2006,1
899,2006-07-02,2006,1
900,2006-07-03,4012,2
901,2006-07-04,4012,2
902,2006-07-05,2006,1
903,2006-07-06,2006,1
904,2006-07-07,2006,1
905,2006-07-08,2006,1
906,2006-07-09,2006,1
907,2006-07-11,6018,3
908,2006-07-12,4012,2
909,2006-07-13,4012,2
910,2006-07-16,2006,1
911,2006-07-17,2006,1
912,2006-07-18,2006,1
913,2006-07-19,4012,2
914,2006-07-20,4012,2
915,2006-07-21,6018,3
916,2006-07-22,4012,2
917,2006-07-23,4012,2
918,2006-07-24,4012,2
919,2006-07-25,4012,2
920,2006-07-26,4012,2
921,2006-07-29,2006,1
922,2006-07-30,6018,3
923,2006-07-31,8024,4
924,2006-08-01,4012,2
925,2006-08-02,4012,2
926,2006-08-03,8024,4
927,2006-08-04,6018,3
928,2006-08-05,2006,1
929,2006-08-06,2006,1
930,2006-08-07,2006,1
931,2006-08-08,2006,1
932,2006-08-09,4012,2
933,2006-08-10,2006,1
934,2006-08-11,2006,1
935,2006-08-12,4012,2
936,2006-08-13,2006,1
937,2006-08-14,2006,1
938,2006-08-17,10030,5
939,2006-08-19,8024,4
940,2006-08-20,6018,3
941,2006-08-21,2006,1
942,2006-08-22,6018,3
943,2006-08-23,2006,1
944,2006-08-24,2006,1
945,2006-08-25,4012,2
946,2006-08-27,4012,2
947,2006-08-28,4012,2
948,2006-08-29,2006,1
949,2006-08-30,8024,4
950,2006-08-31,4012,2
951,2006-09-01,4012,2
952,2006-09-03,6018,3
953,2006-09-04,2006,1
954,2006-09-06,4012,2
955,2006-09-07,6018,3
956,2006-09-08,2006,1
957,2006-09-09,4012,2
958,2006-09-10,2006,1
959,2006-09-11,2006,1
960,2006-09-12,2006,1
961,2006-09-13,2006,1
962,2006-09-14,6018,3
963,2006-09-16,4012,2
964,2006-09-17,10030,5
965,2006-09-18,8024,4
966,2006-09-19,2006,1
967,2006-09-20,2006,1
968,2006-09-21,10030,5
969,2006-09-23,4012,2
970,2006-09-24,4012,2
971,2006-09-25,2006,1
972,2006-09-26,2006,1
973,2006-09-27,4012,2
974,2006-09-29,2006,1
975,2006-09-30,2006,1
976,2006-10-01,2006,1
977,2006-10-02,2006,1
978,2006-10-03,2006,1
979,2006-10-04,6018,3
980,2006-10-05,12036,6
981,2006-10-07,2006,1
982,2006-10-08,6018,3
983,2006-10-09,8024,4
984,2006-10-10,4012,2
985,2006-10-15,8024,4
986,2006-10-16,2006,1
987,2006-10-18,4012,2
988,2006-10-19,8024,4
989,2006-10-21,2006,1
990,2006-10-23,6018,3
991,2006-10-25,6018,3
992,2006-10-26,6018,3
993,2006-10-27,2006,1
